time_s,video_payload_mbps,rf_capacity_mbps,buffer_mb,latency_ms,drop_flag
11.4,34.2043293644335,27.0472905013571,3.6638664404815,1097.89911161067,0
11.44,39.0699822837704,32.8837516021129,3.69654759388979,908.975426897824,0
11.48,37.5354883692923,27.1409091065952,3.75027049020327,1119.86360008368,0
11.52,35.2637521748332,38.7685410899501,3.73449654562769,777.644635049319,0
11.56,36.593279772773,35.4854326571393,3.74178578120586,851.968624998968,0
11.6,35.8897370762265,38.389837937693,3.73103527689852,784.658501018797,0
11.64,38.8179405598683,25.7261749293093,3.79824410505132,1197.42053028311,0
11.68,38.8199062871952,36.2029835604129,3.81307871868523,850.825418701375,0
11.72,38.5070577544695,31.5483461810655,3.84962227655225,987.134960093137,0
11.76,39.2959190442739,31.3743732597144,3.89098000547505,1003.33501609267,0
11.8,40.6078808442338,35.2020335385718,3.91975924200336,899.748759317644,0
11.84,40.3140526932462,31.2575176372636,3.96679191728327,1026.75134608694,0
11.88,41.0752863102673,28.4868528648039,4.03148408451059,1146.25018053914,0
11.92,43.2796043105938,25,4.12463210606356,1338.6229958827,0
11.96,40.3949326126404,34.3736716417065,4.15648841091823,977.316840978012,0
12,38.0595565176222,37.6592375802987,4.16024000560484,892.055753570623,0
12.04,39.6874846333392,32.1916145346916,4.19946935609808,1055.08955308098,0
12.08,41.5466918788432,25,4.2839528154923,1390.32951415572,0
12.12,40.008765212967,28.375202626926,4.3438706284225,1239.98978669264,0
12.16,37.8993438055007,36.8826976796558,4.35070385905173,952.725450981306,0
12.2,41.0467013923769,38.0724690678791,4.36732502067422,926.201307303718,0
12.24,38.9615954186595,38.5874589193926,4.37094570317055,914.484555552675,0
12.28,38.7870048518985,33.0623313145486,4.4013190708573,1076.36940419464,0
12.32,40.0472169339848,30.1778463657207,4.45241592369862,1194.16356624808,0
12.36,40.8407261388958,35.562972099818,4.48055469389401,1017.93275073584,0
12.4,41.5290341211491,28.2127430746319,4.5488861491266,1306.08422492851,0
12.44,40.8178190907335,38.6462609322854,4.56149393991884,952.885494066248,0
12.48,35.0141722031607,26.1525721988926,4.60755193994018,1428.55585231551,0
12.52,38.5449099009202,38.2502228275039,4.61077537530726,973.245016799479,0
12.56,39.0985201567936,32.0751595491664,4.64764217834539,1171.97637317289,0
12.6,36.4880556741926,33.5493510179159,4.66408570162678,1123.89804225024,0
12.64,36.8697832122299,32.9930516301457,4.6852193595372,1148.23072612744,0
12.68,35.8452844726023,29.0589100132339,4.72090123183404,1315.5222485724,0
12.72,36.3738630142424,41.6506488253892,4.69626730277831,909.674290616241,0
12.76,41.2654039335304,34.227193943646,4.73320835272773,1117.73327167565,0
12.8,38.8530915027781,32.2612873931913,4.76791737327566,1195.29301705151,0
12.84,35.2692623179441,32.1377151795177,4.78532510896779,1204.32062057765,0
12.88,35.1439296371932,38.7753357494741,4.76891807840639,992.869519110792,0
12.92,34.7305822331052,37.4181030838403,4.75723047415271,1026.70060313426,0
12.96,34.8736557805642,39.6924916682607,4.73488629471423,962.803542722043,0
13,36.684713335746,33.2154300176543,4.75398271130469,1157.19957627233,0
13.04,33.8821630361188,41.7640718344793,4.71632316731289,911.057127859871,0
13.08,32.4666101694227,31.5965016973051,4.72242370967348,1209.07582049885,0
13.12,36.4661455643048,39.291278257114,4.71004804620943,967.620634353259,0
13.16,32.8908666095216,28.2443407139844,4.73503067568712,1357.99034628219,0
13.2,32.2022433459664,41.0975466432909,4.69230415920049,921.244010154036,0
13.24,35.0803439758329,37.8462806556586,4.68022447580137,998.54692656725,0
13.28,33.7692273171674,37.6405085040047,4.66261806986718,1000.27985820927,0
13.32,35.1214724266324,38.2967786924159,4.64849153853826,980.002350390246,0
13.36,31.1549514045508,34.7646208327488,4.63219319139727,1076.79656595009,0
13.4,33.4450316817558,33.6136490053849,4.63310010477913,1114.27344703622,0
13.44,33.4218429952054,39.6735954004473,4.60359134275292,936.555530260704,0
13.48,33.0997334678531,35.8567437301839,4.59155629144126,1034.52038887768,0
13.52,31.1180442170614,44.0780853048342,4.5285060860024,828.484678335873,0
13.56,31.4447266526821,35.7113445564306,4.50892299648365,1020.07953669029,0
13.6,32.0485336077419,44.3518213286098,4.44915655787932,808.90407233875,0
13.64,29.6745179746031,44.090444661492,4.37882692444487,800.874697700526,0
13.68,33.0303034038019,40.8513595908312,4.34147164350972,857.545857693638,0
13.72,33.4945764559326,38.5569680820445,4.31790968537916,904.109360597681,0
13.76,32.013488535723,35.9395080918139,4.30002958759871,966.583651902235,0
13.8,33.4742381458482,38.9530990336282,4.27438528315981,885.811842087864,0
13.84,31.3274284664985,35.6398827905619,4.25457301153949,964.485608929789,0
13.88,35.1553589017979,42.572163466216,4.2192389887174,799.435868243638,0
